T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
,,,,,,,,
16.9,25.1,6.6,1021.3,65,1.1,2,7.6,284.7958333
,,,,,,,,
15.5,24.1,7.7,1021,71,1.1,3.5,11.1,219.7208333
,,,,,,,,
14.9,22.8,8,1018.4,73,1.1,5.9,13,182.1875
,,,,,,,,
18.3,24.7,11.5,1018.1,85,0.5,1.1,7.6,154.0375
,,,,,,,,
16.5,24.7,12,1017.4,82,0.6,8,13,223.2083333
,,,,,,,,
16.6,22.2,10.2,1015.4,65,1.8,10,20.6,200.6458333
,,,,,,,,
18.2,25.1,12,1014.4,77,0.6,5,11.1,285.225
,,,,,,,,
15.6,23.2,10.9,1015.6,82,0.6,4.3,9.4,236.825
,,,,,,,,
13,19,9.6,1016.9,85,0.8,10.7,16.5,276.9083333
,,,,,,,,
12.3,19,8.9,1015.8,91,0.5,4.6,9.4,108
,,,,,,,,
11.9,15.7,7.5,1018.9,86,0.8,6.1,11.1,107.625
,,,,,,,,
12,17,6.7,1019.8,75,1.3,7.6,13,125.8916667
,,,,,,,,
11.7,18,6.4,1017.3,76,0.8,4.4,13,181.0125
,,,,,,,,
14.6,21,6.8,1015.6,81,0.6,2.4,7.6,152.5541667
,,,,,,,,
17.7,24,9,1014.5,69,1.4,4.4,9.4,152.3208333
,,,,,,,,
17.4,27.2,12.2,1016.4,79,1.1,7.8,18.3,319.7375
,,,,,,,,
15.9,22.4,8.4,1017.6,66,2.4,7.2,16.5,332.7083333
,,,,,,,,
15.2,22.6,6.6,1018.2,56,1.9,8.9,22.2,279.6
,,,,,,,,
12.7,19.5,8,1017.6,69,1.3,8.3,18.3,179.1166667
,,,,,,,,
15.6,24.6,10.7,1015.7,81,1.3,2.8,9.4,54.79166667
,,,,,,,,
17.1,23.2,9,1017.1,69,1.8,5.9,11.1,93.375
,,,,,,,,
17.6,24,10.1,1014.8,67,1.4,5.9,14.8,103
,,,,,,,,
17.2,26,11.5,1014.7,65,2.3,5.7,14.8,132.2083333
,,,,,,,,
17.7,24.4,9.7,1017,64,2.1,8,18.3,127.7083333
,,,,,,,,
17.4,24.4,10.1,1018.9,61,2.3,6.1,11.1,109.3333333
,,,,,,,,
23.1,30,15.6,1014.9,71,1.4,4.1,9.4,56.45833333
,,,,,,,,
23.7,29.8,18.7,1014,75,1.4,11.1,18.3,135.8333333
,,,,,,,,
20.9,27.8,15.8,1014.4,62,2.6,17.2,27.8,122.5
,,,,,,,,
22.6,30.3,11.5,1015.4,57,2.4,5.4,11.1,69.66666667
,,,,,,,,
22.7,30.4,12.8,1017.7,56,2.6,2.4,7.6,79.83333333
,,,,,,,,
22.7,30.6,13,1018.4,58,2.4,3.3,7.6,62.70833333
,,,,,,,,
25,31,15,1015.7,59,1.9,1.7,5.4,1.916666667
,,,,,,,,
24.9,32.4,15.2,1015,57,1.9,1.7,9.4,1.833333333
,,,,,,,,
26.8,33.4,15.7,1014.5,52,2.4,4.6,9.4,1.791666667
,,,,,,,,
23.7,29.1,15.8,1011.9,67,2.1,5.2,11.1,117.5833333
,,,,,,,,
23.4,29.1,17,1011.4,63,2.1,6.7,16.5,122.7083333
,,,,,,,,
24.3,29,15.6,1011.7,56,1.9,10,18.3,76.54166667
,,,,,,,,
24.3,31,16.8,1010.8,66,3.4,6.9,14.8,59.20833333
,,,,,,,,
22.4,29.5,17.1,1014.1,68,3.4,6.3,16.5,77.20833333
,,,,,,,,
24.1,29.2,14.5,1014.4,59,2.4,8.5,18.3,87.83333333
,,,,,,,,
26.8,33,19,1008.8,61,2.3,3.5,11.1,123.7083333
,,,,,,,,
27.1,33,19,1009.9,61,2.6,2.8,13,64.79166667
,,,,,,,,
26.5,32.8,19.5,1010.5,45,2.9,12.2,25.9,62.875
,,,,,,,,
29.8,36.2,18.2,1012.7,52,2.4,3.3,7.6,52.04166667
,,,,,,,,
24.7,36.6,19.7,1012.8,66,2.4,9.4,14.8,128.3333333
,,,,,,,,
26.2,32,19.5,1012.5,56,3.1,9.1,14.8,87.58333333
,,,,,,,,
29.9,37,19.5,1008.3,39,2.7,4.4,9.4,23.20833333
,,,,,,,,
30.4,37.5,21.6,1006.3,41,2.6,12,27.8,15.16666667
,,,,,,,,
32.3,39,21.5,1007.3,39,3.4,5.4,13,21.25
,,,,,,,,
33.4,39.1,24.8,1008,47,2.1,2.6,7.6,25.75
,,,,,,,,
29.5,36.9,21.5,1007.2,41,2.3,11.3,16.5,105.3333333
,,,,,,,,
29.3,36,18.8,1008.8,37,3.2,4.8,11.1,117.75
,,,,,,,,
30.9,37,19,1008.9,33,2.6,6.9,14.8,20.79166667
,,,,,,,,
31.6,38,23.2,1002.6,30,3.1,18.7,35.2,46.91666667
,,,,,,,,
33.1,39,24,1003,26,2.6,10.4,24.1,104.625
,,,,,,,,
33.6,40,23,1003.8,27,2.4,9.8,18.3,109.625
,,,,,,,,
34,40.6,26.3,1005.5,29,2.6,13.9,22.2,0
,,,,,,,,
33.9,39.6,25.8,1002.7,28,2.7,15.7,29.4,30.875
,,,,,,,,
33.3,39.4,24.8,1000.7,28,3.1,8.3,18.3,75.58333333
,,,,,,,,
33.4,40,21.2,1006.3,27,2.6,3.7,14.8,0
,,,,,,,,
33.2,40.3,22.2,1005.1,29,2.3,5,14.8,0
,,,,,,,,
34,40.7,22.2,1004.6,24,2.4,11.9,22.2,0
,,,,,,,,
34.7,41.5,22,1001.7,24,2.3,8.5,16.5,142.5
,,,,,,,,
38,44,23.8,1001.1,20,2.6,9.6,29.4,133.375
,,,,,,,,
35.4,44,28,1003.2,35,2.7,6.5,18.3,102.4166667
,,,,,,,,
33.2,38,25,1004.6,41,2.7,4.6,9.4,158.2916667
,,,,,,,,
35.1,39.2,25.3,1005.1,40,2.4,7.2,11.1,149.5833333
,,,,,,,,
33.8,39.8,27.6,1005.5,44,2.4,9.8,16.5,107.2916667
,,,,,,,,
37.1,42,27.5,1000.7,30,2.9,8.3,18.3,106.5
,,,,,,,,
36.5,43,27,1001.8,35,2.6,4.1,22.2,128.125
,,,,,,,,
37.3,42.4,27.4,1002.4,32,2.6,4.8,14.8,108
,,,,,,,,
37.3,43.7,28.6,997.4,44,2.6,9.4,22.2,98.41666667
,,,,,,,,
37.3,42.8,31.2,996.2,49,2.6,8.3,14.8,94.375
,,,,,,,,
36.2,41.5,30.7,995.3,50,2.9,10.9,18.3,118.5
,,,,,,,,
35.9,41,28.6,998.6,50,2.6,8.5,18.3,70.25
,,,,,,,,
35.7,41.2,30,997.6,48,2.3,9.3,27.8,75.125
,,,,,,,,
36,41,27.6,997.7,46,2.4,12.8,25.9,77
,,,,,,,,
32.6,40.7,26,996.9,59,2.6,11.9,29.4,32.95833333
,,,,,,,,
34.7,38,30.5,995.4,55,2.4,10.4,18.3,40.83333333
,,,,,,,,
35.6,40,30,1000.7,57,3.1,9.4,25.9,90.70833333
,,,,,,,,
31.1,40.1,26,999.8,74,2.4,7.6,14.8,97.29166667
,,,,,,,,
32.9,38.6,27,999.7,64,2.4,8.9,16.5,79.83333333
,,,,,,,,
35.5,39.9,31.2,999.7,60,2.4,9.8,18.3,40.375
,,,,,,,,
34.9,39.6,29.6,999.6,61,2.4,7.8,14.8,49.41666667
,,,,,,,,
34.4,39.4,26,998.3,63,2.3,8,14.8,43.66666667
,,,,,,,,
28.4,36.6,24.4,998.1,82,2.4,5.2,9.4,29.66666667
,,,,,,,,
29.6,32,25.7,997.6,80,2.3,2,7.6,47.75
,,,,,,,,
33.6,36.7,28.8,996.7,66,5.8,5.9,11.1,43.66666667
,,,,,,,,
30.7,36.9,28.8,996.8,78,2.3,5.4,27.8,29.83333333
,,,,,,,,
33.3,37,27.8,996.2,68,2.6,6.7,11.1,29.66666667
,,,,,,,,
31.1,34.2,27.8,997.8,78,2.6,6.9,24.1,37.625
,,,,,,,,
30.4,35.4,26.7,997.8,82,2.1,5.2,14.8,41.45833333
,,,,,,,,
31,35.2,26,997.9,80,2.4,7.2,18.3,53.125
,,,,,,,,
34.1,37,28.5,998.5,63,3.2,13,22.2,70.58333333
,,,,,,,,
34.1,37.2,29,998.4,61,2.6,11.5,22.2,52.45833333
,,,,,,,,
31.9,35,28.3,1001.3,72,2.1,2.8,9.4,38.25
,,,,,,,,
30.3,35,27.6,1002.6,83,2.3,6.5,16.5,26.58333333
,,,,,,,,
28.3,35.8,26.8,1003.9,89,1.6,4.3,11.1,57.58333333
,,,,,,,,
29.2,31,26,1000,85,1.8,4.6,13,41.375
,,,,,,,,
29.1,32.6,26.4,998.6,85,1.8,5.9,13,25.54166667
,,,,,,,,
30.9,35,26,997.4,73,2.6,6.5,11.1,28.375
,,,,,,,,
32.6,36,26.2,997.8,66,3.4,5.6,9.4,40.33333333
,,,,,,,,
33.3,36,26.4,999.7,67,3.2,7.8,18.3,35.375
,,,,,,,,
33.4,36.5,28.6,999.9,66,2.9,9.8,16.5,31.91666667
,,,,,,,,
31.2,36.7,28,997.8,75,2.7,9.1,14.8,36.79166667
,,,,,,,,
29.9,34,25.5,1000.2,80,1.4,3.3,11.1,26.83333333
,,,,,,,,
29,33.7,26,999.1,85,2.1,6.5,22.2,21.125
,,,,,,,,
27.5,34.8,25,1001,89,1.9,4.3,16.5,49.29166667
,,,,,,,,
29.5,35.3,24.6,1001.1,71,2.3,10.9,48.2,19.54166667
,,,,,,,,
29.4,35.3,26.3,1001.7,76,2.6,10.4,20.6,22.83333333
,,,,,,,,
28.5,33.2,26,1001.3,82,1.9,15,25.9,24.29166667
,,,,,,,,
30.9,34.7,25.7,1003.5,73,1.9,1.3,5.4,74.66666667
,,,,,,,,
31.2,36,26.4,1003.3,72,1.9,3.5,13,41.875
,,,,,,,,
30.8,36,26.8,1002.5,76,1.9,1.9,11.1,50.58333333
,,,,,,,,
29.3,34.1,23.5,1004.1,73,1.8,4.3,11.1,58.125
,,,,,,,,
29,34.8,24.6,1004.3,71,1.9,6.7,14.8,57.29166667
,,,,,,,,
29.8,34.9,22.5,1004.2,68,2.6,6.7,18.3,38.25
,,,,,,,,
31,36.3,25.3,1003.5,62,3.1,4.3,14.8,47.41666667
,,,,,,,,
31,36.3,26,1002.8,61,2.3,4.4,11.1,56.91666667
,,,,,,,,
30.4,36.2,25.2,1003.6,61,2.6,5.6,14.8,54.625
,,,,,,,,
30,35.8,24.2,1007.7,58,2.6,9.6,18.3,45.95833333
,,,,,,,,
30.1,35.7,24,1008.1,57,2.4,5.7,16.5,52.25
,,,,,,,,
30.7,36.3,25.4,1009.2,54,3.1,8.9,16.5,43.33333333
,,,,,,,,
31,36.9,24.3,1010.1,54,3.1,3.1,11.1,41.95833333
,,,,,,,,
30.9,37.2,24.5,1008.3,65,1.6,1.1,5.4,45.75
,,,,,,,,
29.6,35.2,24.9,1009.9,59,1.9,3,20.6,70.70833333
,,,,,,,,
27.6,34.6,22.2,1010,56,2.3,3.3,11.1,51.79166667
,,,,,,,,
29.8,33.9,25,1003.5,75,1.9,2.6,7.6,25.79166667
,,,,,,,,
31.6,35.5,25.4,1001.9,63,1.9,5.4,11.1,22.70833333
